timestamp,source_node,destination_node,latency_ms,end_to_end_latency_ms,bandwidth_mbps,utilization_percent
0,0,2,42.07,106.13,297.65,71.49
0,0,10,42.07,80.21,297.65,71.49
0,0,11,42.07,105.82,297.65,71.49
0,0,17,42.07,99.9,297.65,71.49
0,1,2,55.64,101.24,332.66,26.4
0,1,9,55.64,83.12,332.66,26.4
0,1,13,55.64,113.69,332.66,26.4
0,1,29,55.64,110.47,332.66,26.4
0,2,25,56.62,114.25,363.6,92.44
0,2,0,56.62,110.25,363.6,92.44
0,2,12,56.62,112.17,363.6,92.44
0,2,3,56.62,125.87,363.6,92.44
0,3,20,61.43,106.41,336.08,71.79
0,3,11,61.43,103.01,336.08,71.79
0,3,21,61.43,137.59,336.08,71.79
0,3,14,61.43,95.35,336.08,71.79
0,4,14,55.62,112.49,213.06,52.1
0,4,26,55.62,113.72,213.06,52.1
0,4,7,55.62,101.13,213.06,52.1
0,4,5,55.62,94.18,213.06,52.1
0,5,29,61.29,100.19,286.98,38.23
0,5,15,61.29,96.07,286.98,38.23
0,5,27,61.29,108.8,286.98,38.23
0,5,18,61.29,105.34,286.98,38.23
0,6,3,53.05,94.3,277.87,33.13
0,6,8,53.05,101.24,277.87,33.13
0,6,21,53.05,102.07,277.87,33.13
0,6,26,53.05,90.87,277.87,33.13
0,7,18,41.0,95.97,327.66,29.21
0,7,22,41.0,96.27,327.66,29.21
0,7,8,41.0,80.82,327.66,29.21
0,7,24,41.0,80.24,327.66,29.21
0,8,23,35.04,77.66,256.85,71.47
0,8,24,35.04,93.82,256.85,71.47
0,8,6,35.04,85.28,256.85,71.47
0,8,19,35.04,82.93,256.85,71.47
0,9,6,69.9,129.68,335.35,38.49
0,9,11,69.9,110.2,335.35,38.49
0,9,20,69.9,110.38,335.35,38.49
0,9,21,69.9,111.74,335.35,38.49
0,10,27,68.35,113.87,296.99,35.59
0,10,6,68.35,113.3,296.99,35.59
0,10,14,68.35,115.03,296.99,35.59
0,10,0,68.35,117.04,296.99,35.59
0,11,2,44.69,97.26,245.77,52.73
0,11,4,44.69,106.38,245.77,52.73
0,11,15,44.69,76.85,245.77,52.73
0,11,29,44.69,101.32,245.77,52.73
0,12,3,54.21,105.62,398.89,63.88
0,12,7,54.21,97.8,398.89,63.88
0,12,27,54.21,104.28,398.89,63.88
0,12,19,54.21,99.85,398.89,63.88
0,13,22,53.95,111.48,318.98,71.46
0,13,7,53.95,99.21,318.98,71.46
0,13,14,53.95,91.53,318.98,71.46
0,13,29,53.95,111.17,318.98,71.46
0,14,10,37.79,85.32,283.05,54.18
0,14,20,37.79,92.92,283.05,54.18
0,14,15,37.79,90.33,283.05,54.18
0,14,11,37.79,90.13,283.05,54.18
0,15,28,39.47,100.19,249.12,37.6
0,15,8,39.47,109.02,249.12,37.6
0,15,20,39.47,95.1,249.12,37.6
0,15,19,39.47,103.28,249.12,37.6
0,16,29,51.05,97.16,258.0,43.38
0,16,22,51.05,92.04,258.0,43.38
0,16,15,51.05,102.58,258.0,43.38
0,16,7,51.05,99.46,258.0,43.38
0,17,0,67.65,128.84,328.59,41.18
0,17,23,67.65,134.15,328.59,41.18
0,17,29,67.65,111.9,328.59,41.18
0,17,27,67.65,125.37,328.59,41.18
0,18,25,51.64,87.14,306.43,70.93
0,18,7,51.64,98.34,306.43,70.93
0,18,16,51.64,86.78,306.43,70.93
0,18,3,51.64,110.96,306.43,70.93
0,19,24,61.38,103.47,265.39,20.08
0,19,22,61.38,118.26,265.39,20.08
0,19,16,61.38,126.46,265.39,20.08
0,19,2,61.38,118.56,265.39,20.08
0,20,25,37.22,92.67,299.59,41.56
0,20,6,37.22,87.09,299.59,41.56
0,20,1,37.22,103.83,299.59,41.56
0,20,26,37.22,83.38,299.59,41.56
0,21,22,60.41,123.54,301.58,56.3
0,21,0,60.41,89.0,301.58,56.3
0,21,12,60.41,109.2,301.58,56.3
0,21,29,60.41,115.14,301.58,56.3
0,22,0,62.36,111.85,361.66,43.17
0,22,6,62.36,127.08,361.66,43.17
0,22,27,62.36,117.26,361.66,43.17
0,22,17,62.36,97.25,361.66,43.17
0,23,7,52.87,104.39,271.22,51.01
0,23,8,52.87,94.89,271.22,51.01
0,23,17,52.87,113.89,271.22,51.01
0,23,5,52.87,100.72,271.22,51.01
0,24,5,35.22,88.84,216.27,24.43
0,24,7,35.22,102.48,216.27,24.43
0,24,22,35.22,102.61,216.27,24.43
0,24,6,35.22,80.24,216.27,24.43
0,25,3,40.19,90.99,302.05,61.66
0,25,12,40.19,92.57,302.05,61.66
0,25,14,40.19,101.87,302.05,61.66
0,25,2,40.19,87.81,302.05,61.66
0,26,1,45.4,109.88,318.94,46.08
0,26,28,45.4,98.2,318.94,46.08
0,26,4,45.4,113.37,318.94,46.08
0,26,20,45.4,73.24,318.94,46.08
0,27,15,50.07,100.75,292.19,35.32
